Time,Surface Displacement (mm),Rainfall (mm),Pore Water Pressure (kPa),Microseismic Event Count,Blasting Point Distance (m),Maximum Charge per Segment (kg),Serial,t_hour,displacement,rainfall,pore,micro,blast_dist,blast_charge,displacement_raw,blast_flag,stage,Predicted_Displacement,Rate_Observed,Rate_Predicted,Residual
2023-05-01 16:40:00,0.372,0.0,34.6,0,,,0,0.0,0.232,0.0,34.6,0.0,0.0,0.0,0.372,0,1,0.232,0.03982156973461326,0.008697607722767505,0.0
2023-05-01 16:50:00,0.369,0.0,34.37,1,,,1,0.16666666666666666,0.369,0.0,34.37,1.0,0.0,0.0,0.369,0,1,0.24067887148906622,0.03524419745014715,0.008678871489066221,0.12832112851093377
2023-05-01 17:00:00,0.456,0.0,34.19,0,,,2,0.3333333333333333,0.372,0.0,34.19,0.0,0.0,0.0,0.456,0,1,0.24914374125594585,0.026608279592261336,0.008464869766879627,0.12285625874405415
2023-05-01 17:10:00,0.407,0.0,33.93,0,,,3,0.5,0.407,0.0,33.93,0.0,0.0,0.0,0.407,0,1,0.2577807482310305,0.019010015156468274,0.00863700697508461,0.1492192517689695
2023-05-01 17:20:00,0.232,0.0,33.78,0,,,4,0.6666666666666666,0.407,0.0,33.78,0.0,0.0,0.0,0.232,0,1,0.26622042321058764,0.012449404142768017,0.008439674979557173,0.14077957678941233
2023-05-01 17:30:00,0.495,0.0,33.61,0,,,5,0.8333333333333333,0.407,0.0,33.61,0.0,0.0,0.0,0.495,0,1,0.27485834445916396,0.006926446551160537,0.008637921248576303,0.132141655540836
2023-05-01 17:40:00,0.758,0.0,33.35,0,,,6,1.0,0.407,0.0,33.35,0.0,0.0,0.0,0.758,0,1,0.2834414738506447,0.0024411423816458333,0.008583129391480747,0.12355852614935525
2023-05-01 17:50:00,0.423,0.0,33.17,0,,,7,1.1666666666666665,0.407,0.0,33.17,0.0,0.0,0.0,0.423,0,1,0.29181542067438365,0.0,0.008373946823738942,0.11518457932561632
2023-05-01 18:00:00,0.323,0.0,33.16,0,,,8,1.3333333333333333,0.393,0.0,33.16,0.0,0.0,0.0,0.323,0,1,0.3006294806116536,0.0,0.008814059937269974,0.0923705193883464
2023-05-01 18:10:00,0.393,0.0,33.36,0,,,9,1.5,0.393,0.0,33.36,0.0,0.0,0.0,0.393,0,1,0.30960370355504846,0.0,0.008974222943394838,0.08339629644495156
2023-05-01 18:20:00,0.357,0.0,33.28,0,,,10,1.6666666666666665,0.393,0.0,33.28,0.0,0.0,0.0,0.357,0,1,0.3184178458142067,0.0,0.00881414225915824,0.07458215418579334
2023-05-01 18:30:00,0.42,0.0,32.93,1,,,11,1.8333333333333333,0.378,0.0,32.93,1.0,0.0,0.0,0.42,0,1,0.3269428064994755,0.0,0.008524960685268798,0.05105719350052451
2023-05-01 18:40:00,0.378,0.0,32.8,0,,,12,2.0,0.378,0.0,32.8,0.0,0.0,0.0,0.378,0,1,0.3352925719310743,0.0032381497221313227,0.008349765431598837,0.04270742806892569
2023-05-01 18:50:00,0.318,0.0,32.83,0,,,13,2.1666666666666665,0.393,0.0,32.83,0.0,0.0,0.0,0.318,0,1,0.3438867603634957,0.005053285387381423,0.008594188432421365,0.049113239636504324
2023-05-01 19:00:00,0.421,0.0,32.93,0,,,14,2.333333333333333,0.378,0.0,32.93,0.0,0.0,0.0,0.421,0,1,0.35242200651885836,0.008434292252369968,0.008535246155362679,0.025577993481141648
2023-05-01 19:10:00,0.28,0.0,33.27,1,,,15,2.5,0.42,0.0,33.27,1.0,0.0,0.0,0.28,0,1,0.36118310413099214,0.010454560313827993,0.008761097612133804,0.058816895869007846
2023-05-01 19:20:00,0.542,0.0,33.13,1,,,16,2.6666666666666665,0.421,0.0,33.13,1.0,0.0,0.0,0.542,0,1,0.36977111914698757,0.01337806472703476,0.008588015015995404,0.051228880853012415
2023-05-01 19:30:00,0.518,0.0,33.12,1,,,17,2.833333333333333,0.421,0.0,33.12,1.0,0.0,0.0,0.518,0,1,0.3784098852879858,0.013919091206276324,0.00863876614099825,0.04259011471201418
2023-05-01 19:40:00,0.195,0.0,33.02,0,,,18,3.0,0.491,0.0,33.02,0.0,0.0,0.0,0.195,0,1,0.3869000723991304,0.012067832625040742,0.0084901871111446,0.10409992760086961
2023-05-01 19:50:00,0.611,0.0,32.96,0,,,19,3.1666666666666665,0.491,0.0,32.96,0.0,0.0,0.0,0.611,0,1,0.395265081778943,0.011906995750245036,0.008365009379812629,0.09573491822105701
2023-05-01 20:00:00,0.491,0.0,32.94,1,,,20,3.333333333333333,0.491,0.0,32.94,1.0,0.0,0.0,0.491,0,1,0.4035281288110154,0.012817423994769372,0.008263047032072417,0.08747187118898458
2023-05-01 20:10:00,0.334,0.0,32.76,4,,,21,3.5,0.491,0.0,32.76,4.0,0.0,0.0,0.334,0,1,0.4116129112114634,0.011824288983327658,0.00808478240044795,0.07938708878853662
2023-05-01 20:20:00,0.527,0.0,32.89,1,,,22,3.6666666666666665,0.491,0.0,32.89,1.0,0.0,0.0,0.527,0,1,0.4196764250878486,0.008698267407649285,0.008063513876385202,0.07132357491215141
2023-05-01 20:30:00,0.341,0.0,32.86,2,,,23,3.833333333333333,0.524,0.0,32.86,2.0,0.0,0.0,0.341,0,1,0.42778193859061336,0.00518404707420711,0.00810551350276476,0.09621806140938666
2023-05-01 20:40:00,0.347,0.0,33.0,0,,,24,4.0,0.524,0.0,33.0,0.0,0.0,0.0,0.347,0,1,0.43587443975179074,0.0015300751879698815,0.008092501161177353,0.08812556024820928
2023-05-01 20:50:00,0.635,0.0,32.85,0,,,25,4.166666666666666,0.524,0.0,32.85,0.0,0.0,0.0,0.635,0,1,0.4438125419562305,0.00039833278849293885,0.007938102204439745,0.08018745804376953
2023-05-01 21:00:00,0.838,0.0,32.64,0,,,26,4.333333333333333,0.524,0.0,32.64,0.0,0.0,0.0,0.838,0,1,0.4517021993657591,3.906505393919124e-05,0.007889657409528615,0.0722978006342409
2023-05-01 21:10:00,0.524,0.0,32.62,1,,,27,4.5,0.478,0.0,32.62,1.0,0.0,0.0,0.524,0,1,0.4596360434819266,0.0,0.007933844116167496,0.018363956518073377
2023-05-01 21:20:00,0.548,0.0,32.4,1,,,28,4.666666666666666,0.524,0.0,32.4,1.0,0.0,0.0,0.548,0,1,0.46738394225470237,0.0,0.007747898772775791,0.056616057745297654
2023-05-01 21:30:00,0.411,0.0,31.95,0,,,29,4.833333333333333,0.53,0.0,31.95,0.0,0.0,0.0,0.411,0,1,0.4748339726452479,0.0,0.007450030390545544,0.05516602735475212
2023-05-01 21:40:00,0.246,0.0,32.12,1,,,30,5.0,0.524,0.0,32.12,1.0,0.0,0.0,0.246,0,1,0.4822963220305063,0.0004962406015037724,0.007462349385258402,0.0417036779694937
2023-05-01 21:50:00,0.478,0.0,31.58,0,,,31,5.166666666666666,0.49,0.0,31.58,0.0,0.0,0.0,0.478,0,1,0.48954386410394474,0.0010094802222949117,0.0072475420734384195,0.0004561358960552542
2023-05-01 22:00:00,0.619,0.8,32.31,2,,,32,5.333333333333333,0.49,0.8,32.31,2.0,0.0,0.0,0.619,0,1,0.4970842515545542,0.0023215102974827317,0.007540387450609476,-0.007084251554554222
2023-05-01 22:10:00,0.53,0.0,32.29,0,,,33,5.5,0.49,0.0,32.29,0.0,0.0,0.0,0.53,0,1,0.5045469354379509,0.0029707420725726408,0.007462683883396669,-0.014546935437950936
2023-05-01 22:20:00,0.29,0.0,32.21,1,,,34,5.666666666666666,0.53,0.0,32.21,1.0,0.0,0.0,0.29,0,1,0.5120222318440549,0.0032020268061458412,0.007475296406103955,0.017977768155945095
2023-05-01 22:30:00,0.49,0.0,31.87,1,,,35,5.833333333333333,0.53,0.0,31.87,1.0,0.0,0.0,0.49,0,1,0.5192629699888013,0.00420545930042493,0.007240738144746318,0.010737030011198745
2023-05-01 22:40:00,0.605,0.0,32.46,1,,,36,6.0,0.531,0.0,32.46,1.0,0.0,0.0,0.605,0,1,0.5267967746276305,0.004321837201699874,0.007533804638829224,0.004203225372369501
2023-05-01 22:50:00,0.531,0.0,32.05,1,,,37,6.166666666666666,0.531,0.0,32.05,1.0,0.0,0.0,0.531,0,1,0.5343600602113436,0.004051160509970619,0.007563285583713138,-0.0033600602113436073
2023-05-01 23:00:00,0.563,0.0,31.65,0,,,38,6.333333333333333,0.531,0.0,31.65,0.0,0.0,0.0,0.563,0,1,0.541608087985462,0.004739293886890983,0.007248027774118369,-0.010608087985461978
2023-05-01 23:10:00,0.407,0.0,31.33,2,,,39,6.5,0.563,0.0,31.33,2.0,0.0,0.0,0.407,0,1,0.5486971644407558,0.006551977770513195,0.007089076455293742,0.014302835559244165
2023-05-01 23:20:00,0.705,0.0,30.89,0,,,40,6.666666666666666,0.563,0.0,30.89,0.0,0.0,0.0,0.705,0,1,0.5555676828326657,0.007948839490029502,0.00687051839190988,0.007432317167334279
2023-05-01 23:30:00,0.574,0.0,30.35,2,,,41,6.833333333333333,0.563,0.0,30.35,2.0,0.0,0.0,0.574,0,1,0.5625196768572509,0.007225237005557161,0.006951994024585276,0.00048032314274903953
2023-05-01 23:40:00,0.52,0.0,30.06,1,,,42,7.0,0.563,0.0,30.06,1.0,0.0,0.0,0.52,0,1,0.5694441899102154,0.005940176528277108,0.0069245130529644395,-0.006444189910215448
2023-05-01 23:50:00,0.777,0.0,29.94,0,,,43,7.166666666666666,0.526,0.0,29.94,0.0,0.0,0.0,0.777,0,1,0.5763090962186206,0.0053027133050015385,0.006864906308405206,-0.050309096218620564
