SerialNo,Displacement_mm,Velocity_mm_min_raw,Acceleration_mm_min2_raw
1,91.844321618837,-0.0450298571379649,-7.71902906292364e-08
2,94.2995890367617,-0.0450298571379649,-7.2552551444544e-08
3,96.4038523225528,-0.0450298571379649,-6.8383917138298e-08
4,98.179009371695,-0.0450298571379649,-6.46843877104984e-08
5,99.6469580796732,-0.0450298571379649,-6.14539631611453e-08
6,100.829596341972,-0.0450298571379649,-5.86926434902385e-08
7,101.748822054076,-0.0450298571379649,-5.64004286977781e-08
8,102.426533111471,-0.0450298571379649,-5.45773187837641e-08
9,102.88462740964,-0.0450298571379649,-5.32233137481966e-08
10,103.399111781729,-0.0450298571379649,-5.23384135910754e-08
11,103.64030208761,-0.0450298571379649,-5.19226183124006e-08
12,102.767946143609,-0.0450298571379649,-5.19759279121722e-08
13,102.717077086415,-0.0450298571379649,-5.24983423903902e-08
14,101.912186216729,-0.0450298571379649,-5.34898617470546e-08
15,101.618375682224,-0.0490969474520663,-5.49504859821654e-08
16,101.078597661237,-0.0514557375969557,-5.68802150957227e-08
17,100.444641347429,-0.0508713935972438,-5.92790490877262e-08
18,99.7894244063019,-0.0494263971673135,-6.21469879581763e-08
19,99.1209639194391,-0.0464454787059724,-6.54840317070726e-08
20,98.3890910882186,-0.0426514852297391,-6.92901803344154e-08
21,97.9230510254274,-0.0387077776535444,-7.35654338402046e-08
22,97.9769869755295,-0.0353115760900976,-7.83097922244402e-08
23,98.1691395769717,-0.0331754068214447,-8.35232554871221e-08
24,98.2885940882809,-0.0334911462829359,-6.69700405536941e-08
25,97.723441122493,-0.0364537384347918,-4.44397634350543e-08
26,97.9106961157614,-0.039350818640787,-3.03290052850121e-08
27,97.2567775646392,-0.0432277184372971,-2.50628354066861e-08
28,96.3670856319661,-0.0459412330092068,5.88523855408169e-09
29,96.286110921323,-0.0477728337119013,6.41333823185825e-08
30,95.3841912266722,-0.0476543294410722,1.21158838838132e-07
31,95.2283668516984,-0.0446265269665064,1.68183896007452e-07
32,94.5681986553979,-0.0378515466358024,1.96116021990988e-07
33,93.9450737428231,-0.027987857036828,2.00006857129526e-07
34,93.3842977504906,-0.013085224543353,1.95321417689949e-07
35,92.9876263570827,0.00623649401152563,1.75437645127481e-07
36,92.9069111532594,0.0279469673810646,1.26096035904989e-07
37,93.2182530649698,0.049928982913765,2.03614391836559e-08
38,93.8913186275111,0.0698880989323259,-1.3447822991154e-07
39,94.8011041364524,0.0870710942945846,-3.67854085366061e-07
40,95.8890620892307,0.0980664110368382,-8.12473206400431e-07
41,97.1500517883703,0.101948462714421,-1.50951979645955e-06
42,98.4926290876622,0.0999218143728391,-2.37022556874657e-06
43,99.844498011329,0.0895394781943927,-3.37014782682297e-06
44,101.055780889805,0.0727866348818788,-4.64399195880304e-06
45,101.941195594611,0.0492320428322909,-6.13700264368114e-06
46,103.198479720917,0.0215716297749707,-7.7039492867012e-06
47,103.466420722562,-0.00819463797290193,-9.24555955784047e-06
48,103.20509717133,-0.0370366641442589,-1.03830784441796e-05
49,102.406174869762,-0.0620748019129156,-1.08401323229078e-05
50,101.132910885201,-0.0792967557655353,-1.14701635736109e-05
51,99.5994440611965,-0.0883819207750325,-1.11614192554278e-05
52,98.0014574221612,-0.088991089555893,-1.01900163113971e-05
53,96.3295539430842,-0.0815631783681421,-8.34069100686833e-06
54,95.3996352806003,-0.0673696080185648,-5.67917667825882e-06
55,94.236135844385,-0.0483781076674132,-2.30759571149502e-06
56,93.6395441906804,-0.0270187482180013,2.70723233480706e-06
57,93.544045712031,-0.00624715246112686,8.2418528905425e-06
58,93.8974899216372,0.0129390617635015,1.46037375087941e-05
59,94.6274777973896,0.0277555112878048,2.21697558503507e-05
60,95.9062760304116,0.0351844124638241,3.04150958378431e-05
61,97.3377989085942,0.0355064458264063,3.89071195851199e-05
62,98.8067321432063,0.0291584287424708,4.7090969418071e-05
63,99.0805150809792,0.0174147034885813,5.46932068950967e-05
64,99.2499129904485,0.00305616421132262,6.15673822188495e-05
65,98.9493646900272,-0.0113976141049316,6.76352743326893e-05
66,98.2447809585265,-0.0240042220760616,7.30636427560363e-05
67,97.2837678394623,-0.0328930182400455,7.78204413131056e-05
68,96.186498531361,-0.0380061106891878,8.19265334527335e-05
69,95.146760355347,-0.0373694298015442,8.52692826062683e-05
70,94.5473892432204,-0.0309970022808664,8.75237394493818e-05
71,93.5588816802945,-0.019738374107644,8.86668176922896e-05
72,93.3756061146873,-0.00477283233440743,8.83089697415088e-05
73,93.6005428915448,0.0125852360835665,8.65526038094303e-05
