SerialNo,Displacement_mm,Velocity_mm_min
1,0.142695863152029,4.55839255585816e-05
2,0.170394193108689,3.57279981580353e-05
3,0.195708320718789,2.65591091037806e-05
4,0.21863824598233,1.80772583958174e-05
5,0.239183968899311,1.02824460341458e-05
6,0.257345489469733,3.17467201876583e-06
7,0.273122807693596,-3.24606365032263e-06
8,0.286515923570899,-8.97976097311955e-06
9,0.297524837101643,-1.40264199496249e-05
10,0.306149548285828,-1.83860405798387e-05
11,0.312390057123453,-2.20586228637609e-05
12,0.30551142373492,-2.50441668013915e-05
13,0.296834252864362,-2.73426723927306e-05
14,0.289726164070194,-2.89541396377781e-05
15,0.283766932047241,-2.98785685365341e-05
16,0.279342226328141,-3.01159590889985e-05
17,0.276743414386968,-2.96663112951714e-05
18,0.276057531880142,-2.85296251550527e-05
19,0.276691740637318,-2.67059006686424e-05
20,0.278326236371194,-2.41951378359406e-05
21,0.280264365250921,-2.09973366569472e-05
22,0.281406432123496,-1.71124971316622e-05
23,0.281932535303495,-1.25406192600857e-05
24,0.281946631542408,-9.06693244752147e-06
25,0.281294701368668,-4.79329666398608e-06
26,0.280710304897099,5.36909115573482e-07
27,0.28095935751116,6.98809059614898e-06
28,0.282525371511158,1.46144711567602e-05
29,0.286025780030952,2.33983028989604e-05
30,0.290605064883102,3.32099723911965e-05
31,0.299962170950629,4.39527559586512e-05
32,0.307507103688667,5.5595715628144e-05
33,0.315687108195068,6.80334327213624e-05
34,0.324308598337668,8.10471288618906e-05
35,0.333046031800439,9.45513425092602e-05
36,0.341528417349753,0.000108378083683728
37,0.349408197453925,0.000122534469686651
38,0.355900115092133,0.000137189201069534
39,0.360806552709803,0.00015232124596329
40,0.364388103485027,0.000167836129791736
41,0.366518287700069,0.000183647021197532
42,0.367168975301684,0.000199438715422331
43,0.367294812094244,0.000215102576112657
44,0.367412904012464,0.000230815165038839
45,0.368434312345589,0.000246528919903937
46,0.371811202628028,0.000262062106400902
47,0.377085950898772,0.000277291253059239
48,0.383296137755206,0.000292117094955043
49,0.389856964039098,0.000306397621018715
50,0.396823066272774,0.000319941635818207
51,0.403737254624202,0.000332551037982606
52,0.409026408275759,0.000344006969083997
53,0.412335300665653,0.000354220761185997
54,0.413883309735983,0.00036316757578408
55,0.413314099597178,0.000370537300410867
56,0.410453642354892,0.000376389573154064
57,0.405203731241732,0.000380554265895347
58,0.397645839992826,0.000384104555974739
59,0.388707650713546,0.000388034166021905
60,0.379161085819335,0.00039205174413239
61,0.369598589255209,0.000396144218254064
62,0.360953208907705,0.000400222265390072
63,0.354091159304499,0.000404716316168731
64,0.349478707954092,0.000409751356426193
65,0.347897362144614,0.000414659732515437
66,0.349970626526143,0.00041914611820265
67,0.35480636138789,0.000423384277947419
68,0.361625348576859,0.000427275028866978
69,0.370199190503958,0.00043105370809208
70,0.379951790065278,0.000434805611941611
71,0.389383110409549,0.000438322699289158
72,0.397536034365148,0.000441552567311282
73,0.404843266785689,0.000444409127674979
74,0.411255619412161,0.000446778267818876
75,0.416498600669905,0.000448731078270287
76,0.420465919544695,0.000450437377667267
77,0.423415063251127,0.000451798805716013
78,0.425948614967172,0.000453094784261354
79,0.428299036866347,0.000453962931691275
80,0.430770127536083,0.00045456688754234
81,0.433463577726062,0.00045497864287193
82,0.435897753029896,0.000455271556335698
83,0.438060531341292,0.000455234870314846
84,0.439785228469481,0.000454489515827861
85,0.441575646213189,0.00045303465560496
86,0.445407681120141,0.000451201421526297
87,0.451101169255598,0.000449370643457731
88,0.456679419520568,0.000447756788113669
89,0.461829784505652,0.000446182049139367
90,0.467326524921446,0.000444499598705856
91,0.473197326891155,0.000442825390161769
92,0.479190421012312,0.000440989018142728
93,0.484964575226611,0.000439352485127732
94,0.490043347051942,0.000437902063207757
95,0.494608974727116,0.000436781568611504
96,0.49870043470887,0.000435997366308007
97,0.502834903743942,0.00043565907031891
98,0.5078688637285,0.000435926921035915
99,0.513570944364174,0.000436811309951962
100,0.51985459138988,0.000438220909910141
101,0.52617692829049,0.000440199025042651
102,0.531817022265995,0.000442784668041382
103,0.537375582237485,0.000445791796858185
104,0.54317218646416,0.000449199576649683
105,0.550108839297471,0.000452869616572284
106,0.559078947215933,0.000456367803640213
107,0.568273627596677,0.000459607170508159
108,0.576512886179936,0.000462538721964332
109,0.584912311179402,0.000465016747877326
110,0.593763678352752,0.000467061086034801
111,0.602141459445698,0.000468650599114736
112,0.609458340660842,0.000469775183432139
113,0.615548807616915,0.000470586414330518
114,0.62057673147589,0.000471188540557376
115,0.624773161414762,0.000471702142140421
116,0.62849762945025,0.000472348262297492
117,0.631977584547328,0.000473188999529955
118,0.634448486822237,0.000474169320502234
119,0.635739000708173,0.000475329133257517
120,0.636136293044476,0.000476695777489618
121,0.636100271734931,0.000478063319932243
122,0.63695375218665,0.000479248262577459
123,0.639475219346537,0.000479811187725298
124,0.644003399949097,0.00048018960505275
125,0.650572412646691,0.000480301779109271
126,0.6585516850338,0.000480323961769246
127,0.667658656331381,0.000480273753936161
128,0.677574076984514,0.000480256458723727
129,0.688322237151827,0.000480757937792654
130,0.700708661681553,0.000481898085530004
131,0.714393981638184,0.000483507112455485
132,0.728804469336526,0.000485998047915167
133,0.743130449803999,0.000489324293002348
134,0.755574788093266,0.000492929897462058
135,0.764944910836649,0.000496747130272204
136,0.77085388518448,0.000500822633176184
137,0.772478299167694,0.00050537098623803
138,0.769434081618028,0.000509894836721119
139,0.763003848866652,0.000514247893725022
140,0.75414742241962,0.000518563939261548
141,0.74398576121806,0.000522371115588012
142,0.733525796201675,0.000525599103872351
143,0.722587859548061,0.000528019093695046
144,0.71140948977688,0.00052922191902498
145,0.700202063064073,0.000529589353569204
146,0.689330748849009,0.000528870050680755
147,0.679923295191941,0.000527019736780908
148,0.672560291021084,0.000524085863857653
149,0.668147226715102,0.000519962205611049
150,0.667389608951414,0.000514808320166045
151,0.669219210040521,0.000508559400972967
152,0.673028596703841,0.000502373938294401
153,0.677661060185341,0.000497031127148114
154,0.681674084887171,0.000492062982144878
155,0.685548147048443,0.000487441055260696
156,0.689340430825571,0.00048331683566211
157,0.693129136042951,0.000479759840418817
158,0.697830453793834,0.000476464044139943
159,0.703512431699378,0.000473392192622859
160,0.709849749783445,0.000470999255782923
161,0.716550815387935,0.00046911832678766
162,0.723246689518594,0.000467314757771648
163,0.729708057796319,0.000465531344412305
164,0.735733116486814,0.000463244061139494
165,0.741149523791844,0.000460253877765891
166,0.74578431911298,0.000456733668844056
167,0.74940626594734,0.000452930039685111
168,0.751968448024048,0.000448820098917076
169,0.753517932543425,0.000444538133044458
170,0.753823552768898,0.00044060534126341
171,0.752783978327665,0.000437179004135936
172,0.750715239655462,0.000434031840684781
173,0.747654792940662,0.000431190117609365
174,0.743735975742894,0.000428848606818798
175,0.740027454453138,0.000427201646737444
176,0.737250831241196,0.000426431402936142
177,0.736590290864669,0.000426015815282987
178,0.739382834739424,0.0004255510902625
179,0.745213487140365,0.00042530829696785
180,0.753700057603058,0.000425377488489885
181,0.76456874861077,0.000425530886017553
182,0.777232721052109,0.00042558546240889
183,0.791345959759639,0.000425591886974864
184,0.806337349122832,0.000425286073765432
185,0.821890653554406,0.000424703446382896
186,0.837965460436132,0.000424136401020961
187,0.854117246779222,0.000423658550197354
188,0.870487479494882,0.00042333479273802
189,0.886312978098518,0.000423580745309282
190,0.899220031773212,0.000424128834406896
191,0.909376954358138,0.000425288287324121
192,0.918659667739878,0.000427140702548619
193,0.927279745723717,0.000429765157450904
194,0.934827421184347,0.00043330503387307
195,0.941571330143299,0.000437717234943759
196,0.94789951686085,0.000443618661883776
197,0.95418293018596,0.000450172491020071
198,0.960554870682078,0.000456538675544415
199,0.966567534831534,0.000463030207572772
200,0.972000066876,0.000469510942278418
201,0.976706393954261,0.000475690200636389
202,0.980549753235228,0.000481280500373688
203,0.983649074814552,0.000486441795024774
204,0.986256747051261,0.000491338420108499
205,0.988712714723471,0.000495163271373408
206,0.990793730268687,0.000497961782262696
207,0.992392321403586,0.000500020997574013
208,0.993713020299843,0.000501353051284212
209,0.994206609664547,0.000502489984816247
210,0.994094022102297,0.000503604389274764
211,0.995572286865971,0.000504680564371557
212,0.999904506415448,0.000505754855914798
213,1.00589599874388,0.000507147615359827
214,1.01252072832098,0.000509254557655147
215,1.02005785093487,0.000511794591456517
216,1.02816635615892,0.000514484435474272
217,1.03673090832738,0.000517581489781135
218,1.04712778737501,0.000521132929239447
219,1.0589886498524,0.000524946873038042
220,1.07055517783332,0.000528940439842636
221,1.0810601083224,0.000532883157026995
222,1.09000512971312,0.000536541476214852
223,1.09693388859265,0.000539922011885324
224,1.10193281219361,0.000543163600344548
225,1.10446498948093,0.000546166631586994
226,1.10357984797065,0.000548739040423339
227,1.09994271071672,0.000550859392802633
228,1.09453269145791,0.000552468312052022
229,1.08833259073966,0.000553907158529751
230,1.08221816892486,0.000554776212704651
231,1.07649313866655,0.000555119262850883
232,1.07152054909827,0.000554775407915948
233,1.06771483579534,0.000553767946741137
234,1.06606866972639,0.000552229765212053
235,1.06744448447583,0.000550219978197489
236,1.07181713667969,0.000547848551796837
237,1.07986239084518,0.000545170431555394
238,1.09204043705551,0.00054205303006664
239,1.10606961462701,0.000538499758822979
240,1.12044964644359,0.000534577005494474
241,1.13487686192362,0.00053039909781923
242,1.14793081854453,0.000526218761797562
243,1.15898315924124,0.000522141829546786
244,1.16797711315995,0.00051826567405524
245,1.17430808700379,0.000514699486549195
246,1.17785838054512,0.000511559824342435
247,1.17959626049503,0.000508985807982041
248,1.18008023579595,0.000507017658470622
249,1.17977249833999,0.000505538917487217
250,1.17965306721317,0.000504808576707181
251,1.18032952633671,0.00050462079125381
252,1.18212930046872,0.000504839706133428
253,1.18556303760661,0.000505350305421396
254,1.19075456237431,0.000506077826631861
255,1.19708810627034,0.00050706393715105
256,1.20428318182901,0.000508311999070266
257,1.21227199156887,0.000509827429066683
258,1.22062378936223,0.000511472163760677
259,1.22877283557881,0.000512958477587534
260,1.23627721283831,0.000514185268107622
261,1.24259542306903,0.000515294924787799
262,1.24772422098833,0.000516350792379414
263,1.25233127969856,0.00051743192891786
264,1.2567583808373,0.000518752061135221
265,1.26100805191079,0.000520342165185223
