SerialNo,RawDisplacement,FilteredDisplacement
1,0.372,0.346254812392584
2,0.369,0.350420990299239
3,0.456,0.354811310536228
4,0.407,0.359425773103551
5,0.232,0.364264378001208
6,0.495,0.369327125229199
7,0.758,0.374614014787525
8,0.423,0.380125046676184
9,0.323,0.385860220895177
10,0.393,0.391819537444504
11,0.357,0.398002996324165
12,0.42,0.394198091391958
13,0.378,0.398375629457909
14,0.318,0.40407914340719
15,0.421,0.412247782609556
16,0.28,0.421764042209945
17,0.542,0.432768375238468
18,0.518,0.44486433053797
19,0.195,0.4568667642385
20,0.611,0.468336432007613
21,0.491,0.478770044227926
22,0.334,0.488728322331679
23,0.527,0.497879865444952
24,0.341,0.504433571259678
25,0.347,0.507911580821967
26,0.635,0.509320606653928
27,0.838,0.509734216266679
28,0.524,0.509597286765044
29,0.548,0.50973093165791
30,0.411,0.510670424327292
31,0.246,0.512043247711188
32,0.478,0.514283254470994
33,0.619,0.517210814379681
34,0.53,0.519961001024633
35,0.29,0.522931285416218
36,0.49,0.526555515874346
37,0.605,0.530511823306372
38,0.531,0.534798856927964
39,0.563,0.539138871622764
40,0.407,0.544037349115031
41,0.705,0.549613915355704
42,0.574,0.556343785330935
43,0.52,0.562912723675999
44,0.777,0.568464140669076
45,0.526,0.574232544141938
46,0.757,0.580648744050219
47,0.5,0.586950921867488
48,0.389,0.592675855619701
49,0.585,0.597930879132042
50,0.693,0.603103594220503
51,0.617,0.608210973137081
52,0.657,0.613197193912522
53,0.335,0.61699211062103
54,0.678,0.618574517339805
55,0.658,0.618442387345618
56,0.621,0.616015198957035
57,0.624,0.612065703927198
58,0.553,0.609359294783926
59,0.637,0.608654014982641
60,0.611,0.609624076836764
61,0.594,0.612419033042684
62,0.469,0.617279977396012
63,0.646,0.623709658683168
64,0.779,0.631053875980866
65,0.583,0.638747283445501
66,0.531,0.646051810609781
67,0.772,0.652784752036633
68,0.583,0.658921305218552
69,0.667,0.664445898717549
70,0.829,0.669528994150425
71,0.735,0.673539205217719
72,0.709,0.674440151588079
73,0.659,0.67228899247127
74,0.745,0.670081956160115
75,0.634,0.671814314886905
76,0.587,0.666560019083904
77,0.646,0.656426958612758
78,0.654,0.647856562338184
79,0.649,0.641294160231273
80,0.792,0.635979217431393
81,0.735,0.633315267340513
82,0.261,0.635144486786024
83,0.532,0.644268345255684
84,0.215,0.651633502195846
85,0.546,0.65580930953495
86,0.654,0.657070981026081
87,0.825,0.655629109932547
88,0.705,0.651375569658948
89,0.457,0.644590109306956
90,0.825,0.636567591942031
91,0.75,0.627866666221302
92,0.916,0.617271608207944
93,0.552,0.607600306374791
94,0.493,0.604441137019443
95,0.696,0.604406926206597
96,0.43,0.594414027824605
97,0.539,0.583498183443551
98,0.543,0.578559169830512
99,0.677,0.57866505100304
100,0.984,0.583008908976473
101,0.534,0.592890282101359
102,0.667,0.609016171429099
103,0.592,0.628500937581476
104,0.734,0.64151430998168
105,0.433,0.653074475100002
106,0.706,0.663087486650085
107,0.738,0.675684319148648
108,0.584,0.688357689498453
109,0.519,0.70150497638237
110,0.653,0.712034732569019
111,0.729,0.719972531842506
112,0.899,0.728609348606685
113,0.848,0.740280731624696
114,0.776,0.755900793305009
115,0.841,0.770038319151259
116,0.709,0.77812937969458
117,0.665,0.783847656853524
118,0.751,0.789501538156682
119,0.906,0.793671379968265
120,0.84,0.795820821125406
121,0.53,0.796887761997246
122,0.837,0.797677318851579
123,0.471,0.797417581311962
124,0.877,0.797155668945257
125,0.96,0.798789114672106
126,0.774,0.799469483294398
127,0.77,0.801529916297378
128,0.605,0.80407319751174
129,0.9,0.807666295367835
130,0.774,0.807670829923466
131,0.82,0.807626390587545
132,0.796,0.811188755611302
133,0.894,0.816270889134584
134,0.861,0.821514414192418
135,0.923,0.826107800252313
136,0.698,0.829392289426722
137,0.977,0.832357343674441
138,0.791,0.835606624699622
139,0.752,0.839090043580489
140,0.771,0.842881386915669
