SerialNo,Time,RawDisplacement,FilteredDisplacement,PredictedDisplacement,Residual,Rainfall,PorePressure,Microseismic,BlastDist,BlastCharge
1,2023-05-01 16:40,0.372,0.36085442901926706,41.53355333068372,-41.172698901664454,0.0,34.6,0.0,0.0,0.0
2,2023-05-01 16:50,0.369,0.3628379840367146,44.961434831545496,-44.59859684750878,0.0,34.37,1.0,0.0,0.0
3,2023-05-01 17:00,0.456,0.36516736327319915,46.30610619793783,-45.94093883466463,0.0,34.19,0.0,0.0,0.0
4,2023-05-01 17:10,0.407,0.3678425667287208,47.99458084727183,-47.62673828054311,0.0,33.93,0.0,0.0,0.0
5,2023-05-01 17:20,0.232,0.3708635944032795,49.30230368257612,-48.931440088172835,0.0,33.78,0.0,0.0,0.0
6,2023-05-01 17:30,0.495,0.3742304462968753,50.40821720276691,-50.033986756470036,0.0,33.61,0.0,0.0,0.0
7,2023-05-01 17:40,0.758,0.37794312240950817,42.5015503893468,-42.12360726693729,0.0,33.35,0.0,0.0,0.0
8,2023-05-01 17:50,0.423,0.3820016227411781,42.63962849232994,-42.25762686958876,0.0,33.17,0.0,0.0,0.0
9,2023-05-01 18:00,0.323,0.3864059472918851,51.557838501547955,-51.17143255425607,0.0,33.16,0.0,0.0,0.0
10,2023-05-01 18:10,0.393,0.3911560960616292,51.41015696691101,-51.01900087084938,0.0,33.36,0.0,0.0,0.0
11,2023-05-01 18:20,0.357,0.39625206905040455,42.55528672133706,-42.15903465228666,0.0,33.28,0.0,0.0,0.0
12,2023-05-01 18:30,0.42,0.39809170313243064,34.73039013653768,-34.33229843340525,0.0,32.93,1.0,0.0,0.0
13,2023-05-01 18:40,0.378,0.4039819377212082,25.524189526057157,-25.120207588335948,0.0,32.8,0.0,0.0,0.0
14,2023-05-01 18:50,0.318,0.4120155622250683,25.499591181038653,-25.087575618813585,0.0,32.83,0.0,0.0,0.0
15,2023-05-01 19:00,0.421,0.4194150175910751,25.41753036059994,-24.998115343008866,0.0,32.93,0.0,0.0,0.0
16,2023-05-01 19:10,0.28,0.42712871775584893,17.364070339077408,-16.93694162132156,0.0,33.27,1.0,0.0,0.0
17,2023-05-01 19:20,0.542,0.43530944269773464,-15.118120171231347,15.553429613929081,0.0,33.13,1.0,0.0,0.0
18,2023-05-01 19:30,0.518,0.44355886015650214,-22.92234731727325,23.365906177429753,0.0,33.12,1.0,0.0,0.0
