SerialNo,RawDisplacement,FilteredDisplacement
1,0.372,0.36085442901926706
2,0.369,0.3628379840367146
3,0.456,0.36516736327319915
4,0.407,0.3678425667287208
5,0.232,0.3708635944032795
6,0.495,0.3742304462968753
7,0.758,0.37794312240950817
8,0.423,0.3820016227411781
9,0.323,0.3864059472918851
10,0.393,0.3911560960616292
11,0.357,0.39625206905040455
12,0.42,0.39809170313243064
13,0.378,0.4039819377212082
14,0.318,0.4120155622250683
15,0.421,0.4194150175910751
16,0.28,0.42712871775584893
17,0.542,0.43530944269773464
18,0.518,0.44355886015650214
19,0.195,0.45202913736485906
20,0.611,0.460581455661573
21,0.491,0.4689864927810325
22,0.334,0.47707733067914593
23,0.527,0.4847099656719859
24,0.341,0.49180285037068233
25,0.347,0.49837942310994465
26,0.635,0.5044285826277716
27,0.838,0.509885244076917
28,0.524,0.5147349877173901
29,0.548,0.5188930297351635
30,0.411,0.5223521634698741
31,0.246,0.5252440298445888
32,0.478,0.5277143260525883
33,0.619,0.5300151217148512
34,0.53,0.5322523639296423
35,0.29,0.5344316726754104
36,0.49,0.5366324512547358
37,0.605,0.5389593315333409
38,0.531,0.5415514576391784
39,0.563,0.5444857869962673
40,0.407,0.5477470677657819
41,0.705,0.5512179696324275
42,0.574,0.5548975684848876
43,0.52,0.5588624002830382
44,0.777,0.5631243013495942
45,0.526,0.5677562816151627
46,0.757,0.5727122371923785
47,0.5,0.5778486977411733
48,0.389,0.5830645476987032
49,0.585,0.5881957387433651
50,0.693,0.5931832067706541
51,0.617,0.5980305772994228
52,0.657,0.602685623097184
53,0.335,0.6070567178570917
54,0.678,0.6110538135859932
55,0.658,0.6146651450211253
56,0.621,0.6179425306742685
57,0.624,0.6210360964534967
58,0.553,0.6239907138398614
59,0.637,0.6267740363005941
60,0.611,0.6294142187544146
61,0.594,0.6320193266902333
62,0.469,0.6347292096988343
63,0.646,0.6376194463396102
64,0.779,0.640725701678677
65,0.583,0.6439980153389984
66,0.531,0.6473442489767276
67,0.772,0.6507144633648502
68,0.583,0.6540403629360115
69,0.667,0.6571559797181136
70,0.829,0.6599208465756794
71,0.735,0.6622273766946576
72,0.709,0.6639289738601177
73,0.659,0.6650174408021781
74,0.745,0.6655482380057527
75,0.634,0.6654802451359254
76,0.587,0.6647785085486998
77,0.646,0.6624836340220535
78,0.654,0.6579976562504093
79,0.649,0.6526291095949693
80,0.792,0.6472647338135715
81,0.735,0.6426575046801847
82,0.261,0.6395016340291072
83,0.532,0.6380471419718265
84,0.215,0.6384429995122354
85,0.546,0.6386059690782095
86,0.654,0.637132919788546
87,0.825,0.6343983661251036
88,0.705,0.6302549220330713
89,0.457,0.625656535420149
90,0.825,0.6215056253212017
91,0.75,0.6176248489894813
92,0.916,0.6141749077877631
93,0.552,0.6114813275523148
94,0.493,0.6094948949404754
95,0.696,0.6081163277904637
96,0.43,0.6071901487698432
97,0.539,0.6061093143938768
98,0.543,0.6057540492951866
99,0.677,0.6078487655409629
100,0.984,0.6124168765741558
101,0.534,0.6194788694200026
102,0.667,0.628831459487173
103,0.592,0.6395708473996757
104,0.734,0.6504407154122269
105,0.433,0.6595475526727629
106,0.706,0.667317340006327
107,0.738,0.6748614772038873
108,0.584,0.6822665169916045
109,0.519,0.6904367469499335
110,0.653,0.6992051460310085
111,0.729,0.7079324168408236
112,0.899,0.7169105646566859
113,0.848,0.7261869322248267
114,0.776,0.7356257293535757
115,0.841,0.7452002519816047
116,0.709,0.7546965702506261
117,0.665,0.7636976310116061
118,0.751,0.7721025764817664
119,0.906,0.7799277958892603
120,0.84,0.7870286344856708
121,0.53,0.7933955488262919
122,0.837,0.7990531428487232
123,0.471,0.8039636658678596
124,0.877,0.8081620758311356
125,0.96,0.8116233582268836
126,0.774,0.8143101119546302
127,0.77,0.8163092635606243
128,0.605,0.8177541363873624
129,0.9,0.8188648985677278
130,0.774,0.8197904779044581
131,0.82,0.8205995875337622
132,0.796,0.8213978905757553
133,0.894,0.8223548395741023
134,0.861,0.8236363165230622
135,0.923,0.8253198600210893
136,0.698,0.827420048525476
137,0.977,0.829827779120784
138,0.791,0.8325500620055668
139,0.752,0.8356834183458741
140,0.771,0.8392459541599517
141,0.862,0.8433334603725235
142,0.946,0.8479152726145052
143,0.717,0.8528358509548355
144,0.956,0.8579775643316181
145,0.869,0.8631384230206081
146,0.864,0.868240444529182
147,2.23,0.8732868243192066
148,0.851,0.8782132113552025
149,0.887,0.8829453439942828
150,1.104,0.8873898470122021
151,0.918,0.8915042607420908
152,0.97,0.8953249013458496
153,0.818,0.8989704064461941
154,0.886,0.9024379167449628
155,0.915,0.90565701788603
156,0.885,0.9086163666905969
157,0.746,0.9114108509991262
158,0.94,0.9141685508884638
159,1.151,0.9169255590070351
160,0.769,0.9196778048688447
161,0.916,0.9223158333046737
162,0.942,0.9246635053055846
163,0.74,0.9265992981681016
164,0.804,0.9279869259824924
165,1.061,0.9281107844713455
166,0.62,0.926513464364172
167,1.097,0.9232596550184897
168,0.937,0.9183424111458073
169,0.845,0.9122596302108447
